season_id,season_year,season_type,total_games_played,total_games_started,total_minutes,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_two_points_made,total_two_points_att,total_two_points_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_blocked_att,total_free_throws_made,total_free_throws_att,total_free_throws_pct,total_offensive_rebounds,total_defensive_rebounds,total_rebounds,total_assists,total_turnovers,total_assists_turnover_ratio,total_steals,total_blocks,total_personal_fouls,total_tech_fouls,total_points,total_flagrant_fouls,total_ejections,total_foulouts,total_true_shooting_att,total_true_shooting_pct,total_efficiency,total_points_off_turnovers,total_points_in_paint,total_points_in_paint_made,total_points_in_paint_att,total_points_in_paint_pct,total_effective_fg_pct,total_double_doubles,total_triple_doubles,total_fouls_drawn,total_offensive_fouls,total_fast_break_pts,total_fast_break_att,total_fast_break_made,total_fast_break_pct,total_coach_ejections,total_second_chance_pct,total_second_chance_pts,total_second_chance_att,total_second_chance_made,total_minus,total_plus,total_coach_tech_fouls,avg_minutes,avg_points,avg_off_rebounds,avg_def_rebounds,avg_rebounds,avg_assists,avg_steals,avg_blocks,avg_turnovers,avg_personal_fouls,avg_flagrant_fouls,avg_blocked_att,avg_field_goals_made,avg_field_goals_att,avg_three_points_made,avg_three_points_att,avg_free_throws_made,avg_free_throws_att,avg_two_points_made,avg_two_points_att,avg_efficiency,avg_true_shooting_att,avg_points_off_turnovers,avg_points_in_paint_made,avg_points_in_paint_att,avg_points_in_paint,avg_fouls_drawn,avg_offensive_fouls,avg_fast_break_pts,avg_fast_break_att,avg_fast_break_made,avg_second_chance_pts,avg_second_chance_att,avg_second_chance_made
5027b6ac-731c-4622-8d69-d863ae7c626b,2022,REG,55,54,1954.0,609,1219,0.5,488,842,0.58,121,377,0.321,47,251,327,0.768,65,392,457,375,178,2.11,50,32,88,1,1590,0,0,0,1362.88,0.583,1640,195,828,414,633,0.654,0.549,18,2,273,27,343,210,138,0.657,0,0.508,149,122,62,4650,4864,0,35.5,28.9,1.18,7.13,8.31,6.8,0.91,0.58,3.24,1.6,0.0,0.85,11.07,22.16,2.2,6.85,4.56,5.95,8.87,15.31,29.82,24.78,3.55,7.53,11.51,15.05,4.96,0.49,6.24,3.82,2.51,2.71,2.22,1.13
16d6292c-25c6-4487-aa90-912c1e09170b,2021,REG,56,56,2084.0,640,1221,0.524,479,773,0.62,161,448,0.359,46,254,336,0.756,63,396,459,349,196,1.78,73,59,121,1,1695,2,1,0,1368.84,0.619,1776,238,802,401,589,0.681,0.59,21,6,306,18,267,170,118,0.694,0,0.553,161,114,63,4976,4859,0,37.2,30.3,1.13,7.07,8.2,6.2,1.3,1.05,3.5,2.16,0.04,0.82,11.43,21.8,2.88,8.0,4.54,6.0,8.55,13.8,31.71,24.44,4.25,7.16,10.52,14.32,5.46,0.32,4.77,3.04,2.11,2.88,2.04,1.13
feb33381-9dbf-45b6-82c1-3c50c9a2b5ce,2020,REG,45,45,1504.0,422,823,0.513,318,538,0.591,104,285,0.365,27,178,255,0.698,29,317,346,350,168,2.08,48,25,70,2,1126,1,0,0,935.2,0.602,1249,180,526,263,388,0.678,0.576,18,5,206,10,203,110,80,0.727,0,0.6,90,55,33,3248,3535,0,33.4,25.0,0.64,7.04,7.69,7.8,1.07,0.56,3.73,1.56,0.02,0.6,9.38,18.29,2.31,6.33,3.96,5.67,7.07,11.96,27.76,20.78,4.0,5.84,8.62,11.69,4.58,0.22,4.51,2.44,1.78,2.0,1.22,0.73
191e5d0e-ad55-43ef-995c-317ae9ea1213,2019,REG,67,67,2316.0,643,1303,0.493,495,878,0.564,148,425,0.348,59,264,381,0.693,66,459,525,684,261,2.62,78,36,118,2,1698,0,0,0,1470.64,0.577,1983,307,854,427,681,0.627,0.55,46,13,339,28,321,189,131,0.693,0,0.583,154,108,63,5064,5505,0,34.6,25.3,0.99,6.85,7.84,10.2,1.16,0.54,3.9,1.76,0.0,0.88,9.6,19.45,2.21,6.34,3.94,5.69,7.39,13.1,29.6,21.95,4.58,6.37,10.16,12.75,5.06,0.42,4.79,2.82,1.96,2.3,1.61,0.94
47c9979e-5c3f-453d-ac75-734d17412e3f,2018,REG,55,55,1937.0,558,1095,0.51,447,768,0.582,111,327,0.339,52,278,418,0.665,57,408,465,454,197,2.3,72,33,94,0,1505,0,0,0,1278.92,0.588,1655,229,744,372,593,0.627,0.56,32,8,320,16,294,167,115,0.689,0,0.637,151,91,58,4506,4621,0,35.2,27.4,1.04,7.42,8.45,8.3,1.31,0.6,3.58,1.71,0.0,0.95,10.15,19.91,2.02,5.95,5.05,7.6,8.13,13.96,30.09,23.25,4.16,6.76,10.78,13.53,5.82,0.29,5.35,3.04,2.09,2.75,1.65,1.05
7dcb5184-ab33-49fe-bd18-c4ca2b1cfc08,2017,REG,82,82,3026.0,857,1580,0.542,708,1174,0.603,149,406,0.367,68,388,531,0.731,97,612,709,747,347,2.15,116,71,136,5,2251,0,1,0,1813.64,0.621,2681,338,1182,591,872,0.678,0.59,52,18,440,28,343,179,132,0.737,0,0.584,181,125,73,7003,7107,0,36.9,27.5,1.18,7.46,8.65,9.1,1.41,0.87,4.23,1.66,0.0,0.83,10.45,19.27,1.82,4.95,4.73,6.48,8.63,14.32,32.7,22.12,4.12,7.21,10.63,14.41,5.37,0.34,4.18,2.18,1.61,2.21,1.52,0.89
03241c9e-731b-40d0-a36f-bcc9932d055b,2016,REG,74,74,2829.0,736,1344,0.548,612,1002,0.611,124,342,0.363,61,358,531,0.674,97,542,639,646,303,2.13,92,44,134,4,1954,0,0,2,1577.64,0.619,2291,7,0,0,0,0.0,0.594,1,0,0,0,0,0,0,0.0,0,0.0,3,0,0,0,0,0,38.2,26.4,1.31,7.32,8.64,8.7,1.24,0.59,4.09,1.81,0.0,0.82,9.95,18.16,1.68,4.62,4.84,7.18,8.27,13.54,30.96,21.32,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
698590c2-3579-4d4e-a931-3d6dff427ee2,2015,REG,76,76,2709.0,737,1416,0.52,650,1134,0.573,87,282,0.309,69,359,491,0.731,111,454,565,514,249,2.06,104,49,143,4,1920,0,0,0,1632.04,0.588,2092,36,0,0,0,0.0,0.551,1,0,1,0,0,0,0,0.0,0,0.0,4,0,0,0,0,0,35.6,25.3,1.46,5.97,7.43,6.8,1.37,0.64,3.28,1.88,0.0,0.91,9.7,18.63,1.14,3.71,4.72,6.46,8.55,14.92,27.53,21.47,0.47,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.05,0.0,0.0
fb89a852-3f68-4505-85b0-19b428b261d5,2014,REG,69,69,2493.0,624,1279,0.488,504,940,0.536,120,339,0.354,48,375,528,0.71,51,365,416,511,272,1.88,109,49,135,5,1743,1,0,0,1511.32,0.577,1748,11,0,0,0,0.0,0.535,0,0,0,0,0,0,0,0.0,0,0.0,2,0,0,0,0,0,36.1,25.3,0.74,5.29,6.03,7.4,1.58,0.71,3.94,1.96,0.01,0.7,9.04,18.54,1.74,4.91,5.43,7.65,7.3,13.62,25.33,21.9,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
5ddc217a-a958-4616-9bdf-e081022c440b,2013,REG,77,77,2902.0,767,1353,0.567,651,1047,0.622,116,306,0.379,42,439,585,0.75,81,452,533,488,270,1.81,121,26,126,5,2089,1,0,1,1610.4,0.649,2255,55,2,1,1,1.0,0.61,0,0,0,0,0,0,0,0.0,0,0.0,13,0,0,0,0,0,37.7,27.1,1.05,5.87,6.92,6.3,1.57,0.34,3.51,1.64,0.01,0.55,9.96,17.57,1.51,3.97,5.7,7.6,8.45,13.6,29.29,20.91,0.71,0.01,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0
